id,title,description,availability,condition,price,link,image_link,brand,google_product_category,item_group_id
1778559916830-1A1A1A,Áo chống nắng B16 Cool-Air có mũ - Màu Tổng Hợp - Đen,"Hàng 2 lớp, 
Chất thun băng lạnh Hàn 𝐌𝐄̂̀𝐌 - 𝐌𝐈̣𝐍 - 𝐌𝐀́𝐓 𝐓𝐀𝐘.
Được dệt bằng công nghệ SUNSTOP dòng COOL-AIR có khả năng chống tia UV và ngăn chặn bức sáng nhiệt mạnh.
Co giãn 4 chiều, k bị xù lông, bai nhão hay phai màu ngay cả khi giặt máy chế độ nhanh hay giặt nước nóng",in stock,new,299000 VND,https://mumbigsize.com/?product=1778559916830,https://res.cloudinary.com/dwnqwmxob/image/upload/v1778559792/mum-bigsize/nz5ngcregkr1fdrnwtnx.webp,Mũm Big Size,Apparel & Accessories > Clothing,1778559916830
1778559916830-6A9249,Áo chống nắng B16 Cool-Air có mũ - Màu Tổng Hợp - Xanh rêu,"Hàng 2 lớp, 
Chất thun băng lạnh Hàn 𝐌𝐄̂̀𝐌 - 𝐌𝐈̣𝐍 - 𝐌𝐀́𝐓 𝐓𝐀𝐘.
Được dệt bằng công nghệ SUNSTOP dòng COOL-AIR có khả năng chống tia UV và ngăn chặn bức sáng nhiệt mạnh.
Co giãn 4 chiều, k bị xù lông, bai nhão hay phai màu ngay cả khi giặt máy chế độ nhanh hay giặt nước nóng",in stock,new,299000 VND,https://mumbigsize.com/?product=1778559916830,https://res.cloudinary.com/dwnqwmxob/image/upload/v1778559890/mum-bigsize/myz1cvev2cckzdnvjeod.webp,Mũm Big Size,Apparel & Accessories > Clothing,1778559916830
1778559916830-2C3E50,Áo chống nắng B16 Cool-Air có mũ - Màu Tổng Hợp - Xanh than,"Hàng 2 lớp, 
Chất thun băng lạnh Hàn 𝐌𝐄̂̀𝐌 - 𝐌𝐈̣𝐍 - 𝐌𝐀́𝐓 𝐓𝐀𝐘.
Được dệt bằng công nghệ SUNSTOP dòng COOL-AIR có khả năng chống tia UV và ngăn chặn bức sáng nhiệt mạnh.
Co giãn 4 chiều, k bị xù lông, bai nhão hay phai màu ngay cả khi giặt máy chế độ nhanh hay giặt nước nóng",in stock,new,299000 VND,https://mumbigsize.com/?product=1778559916830,https://res.cloudinary.com/dwnqwmxob/image/upload/v1778559904/mum-bigsize/tj5dwvvxz0eprqxkknhw.webp,Mũm Big Size,Apparel & Accessories > Clothing,1778559916830
1778562333294-388E3C,Áo chống nắng ACN-01 Cool-Air dáng dài có mũ - 4 màu - Xanh lá,"Hàng 2 lớp, 
Chất thun băng lạnh Hàn 𝐌𝐄̂̀𝐌 - 𝐌𝐈̣𝐍 - 𝐌𝐀́𝐓 𝐓𝐀𝐘.
Được dệt bằng công nghệ SUNSTOP dòng COOL-AIR có khả năng chống tia UV và ngăn chặn bức sáng nhiệt mạnh.
Co giãn 4 chiều, k bị xù lông, bai nhão hay phai màu ngay cả khi giặt máy chế độ nhanh hay giặt nước nóng",in stock,new,399000 VND,https://mumbigsize.com/?product=1778562333294,https://res.cloudinary.com/dwnqwmxob/image/upload/v1778562190/mum-bigsize/j1cfyahy5qfa5ricpvxe.webp,Mũm Big Size,Apparel & Accessories > Clothing,1778562333294
1778562333294-B8B8B8,Áo chống nắng ACN-01 Cool-Air dáng dài có mũ - 4 màu - Xám,"Hàng 2 lớp, 
Chất thun băng lạnh Hàn 𝐌𝐄̂̀𝐌 - 𝐌𝐈̣𝐍 - 𝐌𝐀́𝐓 𝐓𝐀𝐘.
Được dệt bằng công nghệ SUNSTOP dòng COOL-AIR có khả năng chống tia UV và ngăn chặn bức sáng nhiệt mạnh.
Co giãn 4 chiều, k bị xù lông, bai nhão hay phai màu ngay cả khi giặt máy chế độ nhanh hay giặt nước nóng",in stock,new,399000 VND,https://mumbigsize.com/?product=1778562333294,https://res.cloudinary.com/dwnqwmxob/image/upload/v1778562281/mum-bigsize/vanskxxc9seppboufjye.webp,Mũm Big Size,Apparel & Accessories > Clothing,1778562333294
1778562333294-1A1A1A,Áo chống nắng ACN-01 Cool-Air dáng dài có mũ - 4 màu - Đen,"Hàng 2 lớp, 
Chất thun băng lạnh Hàn 𝐌𝐄̂̀𝐌 - 𝐌𝐈̣𝐍 - 𝐌𝐀́𝐓 𝐓𝐀𝐘.
Được dệt bằng công nghệ SUNSTOP dòng COOL-AIR có khả năng chống tia UV và ngăn chặn bức sáng nhiệt mạnh.
Co giãn 4 chiều, k bị xù lông, bai nhão hay phai màu ngay cả khi giặt máy chế độ nhanh hay giặt nước nóng",in stock,new,399000 VND,https://mumbigsize.com/?product=1778562333294,https://res.cloudinary.com/dwnqwmxob/image/upload/v1778562315/mum-bigsize/clpp8guvhmmlwfs2z3o9.webp,Mũm Big Size,Apparel & Accessories > Clothing,1778562333294
1778562333294-2C3E50,Áo chống nắng ACN-01 Cool-Air dáng dài có mũ - 4 màu - Xanh than,"Hàng 2 lớp, 
Chất thun băng lạnh Hàn 𝐌𝐄̂̀𝐌 - 𝐌𝐈̣𝐍 - 𝐌𝐀́𝐓 𝐓𝐀𝐘.
Được dệt bằng công nghệ SUNSTOP dòng COOL-AIR có khả năng chống tia UV và ngăn chặn bức sáng nhiệt mạnh.
Co giãn 4 chiều, k bị xù lông, bai nhão hay phai màu ngay cả khi giặt máy chế độ nhanh hay giặt nước nóng",in stock,new,399000 VND,https://mumbigsize.com/?product=1778562333294,https://res.cloudinary.com/dwnqwmxob/image/upload/v1778562327/mum-bigsize/ve8grpiu4kahpxibehpr.webp,Mũm Big Size,Apparel & Accessories > Clothing,1778562333294
1778564967893-B8B8B8,Áo chống nắng dáng xoè chữ A kiểu Peplum vải Cool-Air không mũ - 3 màu - Xám,"Hàng 2 lớp, 
Chất thun băng lạnh Hàn 𝐌𝐄̂̀𝐌 - 𝐌𝐈̣𝐍 - 𝐌𝐀́𝐓 𝐓𝐀𝐘.
Được dệt bằng công nghệ SUNSTOP dòng COOL-AIR có khả năng chống tia UV và ngăn chặn bức sáng nhiệt mạnh.
Co giãn 4 chiều, k bị xù lông, bai nhão hay phai màu ngay cả khi giặt máy chế độ nhanh hay giặt nước nóng",in stock,new,349000 VND,https://mumbigsize.com/?product=1778564967893,https://res.cloudinary.com/dwnqwmxob/image/upload/v1778564915/mum-bigsize/sqwawvkj9tgebxtkr6qf.webp,Mũm Big Size,Apparel & Accessories > Clothing,1778564967893
1778564967893-2C3E50,Áo chống nắng dáng xoè chữ A kiểu Peplum vải Cool-Air không mũ - 3 màu - Xanh than,"Hàng 2 lớp, 
Chất thun băng lạnh Hàn 𝐌𝐄̂̀𝐌 - 𝐌𝐈̣𝐍 - 𝐌𝐀́𝐓 𝐓𝐀𝐘.
Được dệt bằng công nghệ SUNSTOP dòng COOL-AIR có khả năng chống tia UV và ngăn chặn bức sáng nhiệt mạnh.
Co giãn 4 chiều, k bị xù lông, bai nhão hay phai màu ngay cả khi giặt máy chế độ nhanh hay giặt nước nóng",in stock,new,349000 VND,https://mumbigsize.com/?product=1778564967893,https://res.cloudinary.com/dwnqwmxob/image/upload/v1778564925/mum-bigsize/qwem6w0r20cz5pzvasnh.webp,Mũm Big Size,Apparel & Accessories > Clothing,1778564967893
1778564967893-1A1A1A,Áo chống nắng dáng xoè chữ A kiểu Peplum vải Cool-Air không mũ - 3 màu - Đen,"Hàng 2 lớp, 
Chất thun băng lạnh Hàn 𝐌𝐄̂̀𝐌 - 𝐌𝐈̣𝐍 - 𝐌𝐀́𝐓 𝐓𝐀𝐘.
Được dệt bằng công nghệ SUNSTOP dòng COOL-AIR có khả năng chống tia UV và ngăn chặn bức sáng nhiệt mạnh.
Co giãn 4 chiều, k bị xù lông, bai nhão hay phai màu ngay cả khi giặt máy chế độ nhanh hay giặt nước nóng",in stock,new,349000 VND,https://mumbigsize.com/?product=1778564967893,https://res.cloudinary.com/dwnqwmxob/image/upload/v1778564936/mum-bigsize/gqzexkxywwkv2xjypaqq.webp,Mũm Big Size,Apparel & Accessories > Clothing,1778564967893
1778649402602-1A1A1A,Áo chống nắng B16 Cool-Air có mũ - Đen - Đen,"Hàng 2 lớp, 
Chất thun băng lạnh Hàn 𝐌𝐄̂̀𝐌 - 𝐌𝐈̣𝐍 - 𝐌𝐀́𝐓 𝐓𝐀𝐘.
Được dệt bằng công nghệ SUNSTOP dòng COOL-AIR có khả năng chống tia UV và ngăn chặn bức sáng nhiệt mạnh.
Co giãn 4 chiều, k bị xù lông, bai nhão hay phai màu ngay cả khi giặt máy chế độ nhanh hay giặt nước nóng",in stock,new,299000 VND,https://mumbigsize.com/?product=1778649402602,https://res.cloudinary.com/dwnqwmxob/image/upload/v1778649399/mum-bigsize/iyjobuzpomco2kowjdnq.webp,Mũm Big Size,Apparel & Accessories > Clothing,1778649402602
